reference,Count
7336_cusC,1
17019_gatB,10
4883_betB,11
25837_lldD,1
10358_dsdA,10
3496_aroH,1
9552_dkgB,2
11783_fadB,1
15433_gabD,1
23119_ilvC,1
14306_fepG,2
29800_nuoI,31
5841_cirA,5
32695_preT,4
17060_gcl,5
32265_plsB,1
28548_murI,3
9422_dgoK,8
13842_fepD,1
8171_dacA,6
39258_trxA,10
16395_galU,1
40434_wcaJ,3
27725_mgsA,1
27618_metC,13
12568_fecC,1
18871_gltD,1
29102_narJ,4
9691_dkgB,193
37120_sodC,1
35084_purT,91
33529_purD,3
30942_oppF,3
27685_metQ,1
19379_gnd,22
41744_ybjG,2
26709_malX,2
11791_fadB,3
41247_wcaJ,1
41988_yeaE,1
33213_psuK,1
7290_cusC,1
1455_ansB,5
19313_gnd,1
7363_cusC,1
22766_hyfF,2
768_allC,62
25238_ldtA,82
35170_purT,5
5228_bisC,9
31416_panB,3
7069_cpsB,1
41101_wcaJ,5
35209_purT,3
7322_cusC,2
27411_metC,189
5505_btuD,1
21473_hisH,5
28182_mrcB,4
16913_gatB,6
2488_argF,59
13667_fepD,1
36618_rutD,3
31262_pabB,3
33867_purD,2
6268_citX,110
8334_dacD,3
22145_hscC,4
14558_fhuE,5
24391_kdsD,4
6595_cobT,1
8601_dcuC,3
4073_aspC,4
21255_hisH,46
21257_hisH,64
13721_fepD,3
1267_ansA,4
4215_astC,1
18600_glpQ,1
9332_dgoK,3
15947_galE,10
16654_garR,1
2450_argF,92
31914_pgl,3
23193_ilvI,1
40685_wcaJ,1
37390_sseA,1
4423_astD,102
11990_fadJ,3
5123_bioH,12
18676_glpQ,3
40032_ugd,5
14881_folK,1
22736_hyfF,3
26294_maeA,146
2222_argE,14
17894_glgP,6
34636_purL,2
29391_norW,12
19669_gsiD,45
23612_kbl,9
19401_gnd,1
5127_bioH,12
42913_yieH,4
1279_ansA,4
26342_maeB,2
2426_argF,3
33319_psuK,9
31885_pgl,2
25678_leuD,2
16382_galU,5
9581_dkgB,1
6683_cpsB,1
14890_frdC,69
8029_cysN,2
27093_manA,7
27150_manA,1
25461_ldtE,1
30611_oppC,8
2436_argF,73
27412_metC,110
22901_hyfJ,1
28569_nanA,5
32391_ppc,11
20532_hisB,4
36621_rutD,21
38051_tdcB,158
24254_kdgK,12
20541_hisB,28
6662_cpsB,9
29561_nrdG,4
40836_wcaJ,2
26108_lysA,2
869_ampD,1
24200_kdgK,1
5149_bioH,1
2998_arnT,4
16921_gatB,7
33389_psuK,6
37702_tauC,1
10918_entB,2
37022_serC,1
8964_dcuC,1
4570_astE,4
15159_gabD,4
22772_hyfF,2
22763_hyfF,4
29984_ompA,4
16076_galE,1
14374_fepG,1
33036_psuG,9
12098_fadJ,1
41579_wzxE,3
3632_aroK,1
7827_cysI,8
35503_putA,2
3854_aroK,11
35146_purT,13
41210_wcaJ,3
14856_folK,80
38485_thiH,4
40368_ugpQ,1
40369_ugpQ,8
11696_fadB,96
24052_kdgK,7
26385_malG,8
14436_fepG,1
5280_bisC,8
1761_aphA,5
11800_fadB,55
36127_queD,1
6308_citX,87
40972_wcaJ,9
7877_cysJ,1
31055_oppF,1
4270_astC,1
12773_fecC,1
34932_purR,1
7869_cysJ,13
24878_lamB,11
11234_exbD,4
22885_hyfJ,21
15331_gabD,1
